year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1928	0	1	1	0.0113636363636	8	0.0909090909091	9	0.102272727273
1930	0	1	1	0.0116279069767	22	0.255813953488	23	0.267441860465
1973	0	1	2	0.046511627907	53	1.23255813953	55	1.27906976744
1975	0	2	8	0.19512195122	52	1.26829268293	60	1.46341463415
1981	0	1	1	0.0285714285714	31	0.885714285714	32	0.914285714285
1982	0	2	9	0.264705882353	639	18.794117647	648	19.0588235294
1983	0	1	2	0.0606060606061	85	2.57575757576	87	2.63636363637
1985	0	3	4	0.129032258064	70	2.25806451613	74	2.3870967742
1986	0	1	1	0.0333333333333	93	3.1	94	3.13333333333
1988	0	4	4	0.142857142857	98	3.5	102	3.64285714286
1989	0	2	7	0.259259259259	100	3.7037037037	107	3.96296296296
1990	0	41	109	4.19230769231	2254	86.6923076923	2363	90.8846153846
1991	0	127	378	15.12	9211	368.44	9589	383.56
1992	0	155	399	16.625	10210	425.416666667	10609	442.041666667
1993	0	169	503	21.8695652174	11625	505.434782609	12128	527.304347826
1994	0	163	355	16.1363636364	7147	324.863636364	7502	341.0
1995	2	173	411	19.5714285714	8413	400.619047619	8824	420.19047619
1996	2	150	297	14.85	5487	274.35	5784	289.2
1997	2	122	233	12.2631578947	4133	217.52631579	4366	229.789473684
1998	2	110	202	11.2222222222	2787	154.833333333	2989	166.055555556
1999	2	99	142	8.35294117648	1682	98.9411764706	1824	107.294117647
2000	2	97	123	7.6875	1540	96.25	1663	103.9375
2001	1	75	59	3.93333333333	697	46.4666666667	756	50.4
2002	1	53	20	1.42857142857	214	15.2857142857	234	16.7142857143
2003	0	57	11	0.846153846154	119	9.15384615384	130	10.0
2004	1	44	2	0.166666666667	6	0.500000000001	8	0.666666666667
