year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1903	0	1	1	0.00884955752212	7	0.0619469026549	8	0.070796460177
1904	0	1	3	0.0267857142857	658	5.875	661	5.90178571429
1906	0	1	2	0.0181818181818	36	0.327272727273	38	0.345454545455
1907	0	1	4	0.0366972477064	57	0.522935779817	61	0.559633027523
1909	0	3	3	0.0280373831776	84	0.785046728972	87	0.81308411215
1910	0	5	8	0.0754716981132	171	1.61320754717	179	1.68867924528
1911	0	1	1	0.00952380952381	234	2.22857142857	235	2.23809523809
1913	0	1	1	0.00970873786408	8	0.0776699029126	9	0.0873786407767
1914	0	1	3	0.0294117647059	1	0.00980392156863	4	0.0392156862745
1915	0	1	4	0.039603960396	59	0.584158415842	63	0.623762376238
1918	0	1	1	0.0102040816327	0	0.0	1	0.0102040816327
1922	0	2	2	0.0212765957446	31	0.329787234043	33	0.351063829787
1923	0	1	2	0.0215053763441	457	4.91397849462	459	4.93548387096
1924	0	2	2	0.0217391304348	7	0.0760869565218	9	0.0978260869566
1926	0	4	4	0.0444444444444	172	1.91111111111	176	1.95555555555
1927	0	1	1	0.0112359550562	35	0.393258426966	36	0.404494382022
1928	0	1	1	0.0113636363636	2	0.0227272727273	3	0.0340909090909
1930	0	3	3	0.0348837209301	25	0.290697674419	28	0.325581395349
1931	0	1	3	0.0352941176471	5	0.0588235294118	8	0.0941176470589
1932	0	2	5	0.0595238095238	23	0.27380952381	28	0.333333333333
1933	0	3	3	0.0361445783133	11	0.132530120482	14	0.168674698796
1934	0	1	1	0.0121951219512	3	0.0365853658537	4	0.0487804878049
1935	0	1	5	0.0617283950617	3570	44.0740740741	3575	44.1358024692
1936	0	2	2	0.025	23	0.2875	25	0.3125
1937	0	2	3	0.0379746835443	15	0.189873417722	18	0.227848101266
1938	0	3	4	0.051282051282	154	1.97435897436	158	2.02564102564
1939	0	1	1	0.012987012987	5	0.0649350649351	6	0.0779220779221
1940	0	3	4	0.0526315789473	75	0.986842105263	79	1.03947368421
1941	0	1	1	0.0133333333333	36	0.48	37	0.493333333333
1942	0	1	1	0.0135135135135	19	0.256756756757	20	0.27027027027
1943	0	1	1	0.013698630137	315	4.31506849315	316	4.32876712329
1944	0	2	25	0.347222222222	674	9.36111111111	699	9.70833333333
1947	0	6	6	0.0869565217392	124	1.79710144928	130	1.88405797102
1948	0	5	15	0.220588235294	5467	80.3970588236	5482	80.6176470589
1949	0	4	5	0.0746268656716	240	3.58208955224	245	3.65671641791
1950	0	5	6	0.090909090909	735	11.1363636364	741	11.2272727273
1951	0	3	5	0.076923076923	523	8.04615384616	528	8.12307692308
1952	0	5	5	0.078125	102	1.59375	107	1.671875
1953	0	5	5	0.079365079365	370	5.87301587302	375	5.95238095238
1954	0	3	10	0.16129032258	636	10.2580645161	646	10.4193548387
1955	0	3	3	0.049180327869	411	6.73770491803	414	6.7868852459
1961	0	1	1	0.0181818181818	46	0.836363636364	47	0.854545454546
1967	0	2	3	0.0612244897959	1172	23.918367347	1175	23.9795918368
1968	0	2	2	0.0416666666666	244	5.08333333333	246	5.125
1970	0	2	2	0.0434782608696	476	10.347826087	478	10.3913043478
1971	0	2	51	1.13333333333	8181	181.8	8232	182.933333333
1972	0	1	1	0.0227272727273	142	3.22727272727	143	3.25
1973	0	3	4	0.093023255814	184	4.27906976744	188	4.37209302325
1974	0	4	10	0.238095238096	2113	50.3095238096	2123	50.5476190477
1975	0	5	6	0.146341463414	388	9.46341463415	394	9.60975609756
1976	0	1	1	0.025	50	1.25	51	1.275
1977	0	3	5	0.128205128205	249	6.38461538462	254	6.51282051282
1978	0	9	43	1.13157894737	1602	42.1578947368	1645	43.2894736842
