year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1908	0	1	1	0.00925925925926	4	0.037037037037	5	0.0462962962963
1911	0	1	1	0.00952380952381	246	2.34285714286	247	2.35238095238
1912	0	1	1	0.00961538461538	64	0.615384615385	65	0.625
1913	0	1	1	0.00970873786408	24	0.233009708738	25	0.242718446602
1927	0	1	1	0.0112359550562	8	0.0898876404494	9	0.101123595506
1930	0	1	1	0.0116279069767	10	0.116279069767	11	0.127906976744
1933	0	1	1	0.0120481927711	279	3.36144578313	280	3.3734939759
1934	0	1	1	0.0121951219512	5	0.0609756097561	6	0.0731707317073
1935	0	3	9	0.111111111111	4021	49.6419753086	4030	49.7530864197
1937	0	1	2	0.0253164556962	43	0.544303797468	45	0.569620253164
1939	0	1	1	0.012987012987	6	0.0779220779221	7	0.0909090909091
1943	0	1	1	0.013698630137	11	0.150684931507	12	0.164383561644
1946	0	1	3	0.0428571428571	88	1.25714285714	91	1.3
1953	0	2	2	0.031746031746	24	0.380952380952	26	0.412698412698
1954	0	2	2	0.0322580645162	1708	27.5483870967	1710	27.5806451612
1955	0	2	2	0.032786885246	36	0.590163934426	38	0.622950819672
1956	0	1	1	0.0166666666667	14	0.233333333333	15	0.25
1960	0	1	1	0.0178571428571	52	0.928571428571	53	0.946428571428
1965	0	1	2	0.0392156862745	98	1.92156862745	100	1.96078431372
1969	0	1	1	0.0212765957447	1039	22.1063829787	1040	22.1276595744
1971	0	1	1	0.0222222222222	232	5.15555555556	233	5.17777777778
1972	0	1	1	0.0227272727273	117	2.65909090909	118	2.68181818182
1975	0	1	1	0.0243902439024	322	7.85365853659	323	7.87804878049
1976	0	1	1	0.025	14	0.35	15	0.375
1977	0	1	1	0.025641025641	84	2.15384615385	85	2.17948717949
1978	0	2	2	0.0526315789474	313	8.23684210526	315	8.28947368421
1979	0	1	1	0.027027027027	42	1.13513513514	43	1.16216216217
1981	0	7	7	0.2	816	23.3142857143	823	23.5142857143
1982	0	7	7	0.205882352941	2365	69.5588235294	2372	69.7647058823
1983	0	1	1	0.030303030303	20	0.606060606061	21	0.636363636364
1984	0	7	7	0.21875	1352	42.25	1359	42.46875
1985	0	9	9	0.290322580645	1469	47.3870967741	1478	47.6774193548
1986	0	7	14	0.466666666667	525	17.5	539	17.9666666667
1987	0	20	25	0.862068965517	4520	155.862068966	4545	156.724137931
1988	0	10	14	0.5	2497	89.1785714286	2511	89.6785714286
1989	0	15	23	0.851851851851	3559	131.814814815	3582	132.666666667
1990	0	108	167	6.42307692308	22453	863.576923077	22620	870.0
1991	0	1431	2286	91.44	339152	13566.08	341438	13657.52
1992	0	1569	2434	101.416666667	373365	15556.875	375799	15658.2916667
1993	0	1716	2837	123.347826087	391856	17037.2173913	394693	17160.5652174
1994	0	1893	2908	132.181818182	354364	16107.4545455	357272	16239.6363636
1995	0	2059	3273	155.857142857	435390	20732.8571429	438663	20888.7142857
1996	0	2045	3157	157.85	375491	18774.55	378648	18932.4
1997	0	2129	3253	171.210526316	408440	21496.8421053	411693	21668.0526316
1998	0	2273	3278	182.111111111	414828	23046.0	418106	23228.1111111
1999	0	2254	3497	205.705882353	381191	22423.0	384688	22628.7058824
2000	1	2230	3315	207.1875	361737	22608.5625	365052	22815.75
2001	0	2058	3035	202.333333333	334904	22326.9333333	337939	22529.2666667
2002	2	1851	2724	194.571428571	257484	18391.7142857	260208	18586.2857143
2003	2	1415	2030	156.153846154	175209	13477.6153846	177239	13633.7692308
2004	1	1067	1459	121.583333333	112777	9398.08333333	114236	9519.66666667
2005	1	1055	1422	129.272727273	100669	9151.72727273	102091	9281.0
2006	7	775	1018	101.8	49010	4901.0	50028	5002.8
2007	3	484	647	71.8888888888	34970	3885.55555556	35617	3957.44444444
2008	2	295	345	43.125	10917	1364.625	11262	1407.75
2009	6	95	108	15.4285714286	1998	285.428571429	2106	300.857142857
2010	6	22	10	1.66666666667	40	6.66666666667	50	8.33333333334
