year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1909	0	1	1	0.00934579439252	26	0.242990654206	27	0.252336448599
1911	0	1	1	0.00952380952381	17	0.161904761905	18	0.171428571429
1922	0	1	1	0.0106382978723	15	0.159574468085	16	0.170212765957
1934	0	2	2	0.0243902439024	433	5.28048780487	435	5.30487804878
1935	0	1	1	0.0123456790123	9	0.111111111111	10	0.123456790123
1936	0	1	1	0.0125	52	0.65	53	0.6625
1943	0	1	1	0.013698630137	34	0.465753424658	35	0.479452054795
1969	0	1	1	0.0212765957447	38	0.808510638298	39	0.829787234043
1973	0	1	1	0.0232558139535	19	0.441860465116	20	0.46511627907
1974	0	4	4	0.095238095238	297	7.07142857143	301	7.16666666667
1975	0	3	4	0.0975609756097	160	3.90243902439	164	4.0
1977	0	7	7	0.179487179487	234	6.0	241	6.17948717949
1978	0	8	10	0.263157894737	380	10.0	390	10.2631578947
1979	0	2	2	0.054054054054	672	18.1621621622	674	18.2162162162
1980	0	4	14	0.388888888889	1037	28.8055555556	1051	29.1944444444
1981	0	3	3	0.0857142857142	85	2.42857142857	88	2.51428571429
1982	0	5	5	0.14705882353	288	8.4705882353	293	8.61764705883
1983	0	5	5	0.151515151515	241	7.30303030303	246	7.45454545454
1984	1	3	26	0.8125	522	16.3125	548	17.125
1985	0	4	8	0.258064516129	489	15.7741935484	497	16.0322580645
1986	0	8	10	0.333333333333	637	21.2333333333	647	21.5666666667
1987	0	10	15	0.517241379311	1229	42.3793103448	1244	42.8965517241
1988	0	16	59	2.10714285714	2525	90.1785714286	2584	92.2857142858
1989	0	13	18	0.666666666666	1570	58.1481481481	1588	58.8148148148
1990	0	71	108	4.15384615385	6576	252.923076923	6684	257.076923077
1991	1	726	1522	60.88	85188	3407.52	86710	3468.4
1992	0	692	1177	49.0416666667	74205	3091.875	75382	3140.91666667
1993	3	630	960	41.7391304348	66126	2875.04347826	67086	2916.7826087
1994	4	474	691	31.4090909091	37976	1726.18181818	38667	1757.59090909
1995	1	275	408	19.4285714286	18651	888.142857143	19059	907.571428572
1996	2	182	204	10.2	5380	269.0	5584	279.2
1997	2	120	154	8.1052631579	3081	162.157894737	3235	170.263157895
1998	2	53	17	0.944444444445	48	2.66666666667	65	3.61111111111
1999	1	1	1	0.0588235294118	0	0.0	1	0.0588235294118
