year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1903	0	1	1	0.00884955752212	18	0.159292035398	19	0.16814159292
1912	0	1	7	0.0673076923077	16	0.153846153846	23	0.221153846154
1923	0	1	1	0.010752688172	3	0.0322580645161	4	0.0430107526881
1928	0	1	1	0.0113636363636	13	0.147727272727	14	0.159090909091
1929	0	1	1	0.0114942528736	2	0.0229885057471	3	0.0344827586207
1930	0	1	1	0.0116279069767	1	0.0116279069767	2	0.0232558139534
1932	0	1	1	0.0119047619048	4	0.047619047619	5	0.0595238095238
1933	0	1	1	0.0120481927711	78	0.939759036145	79	0.951807228916
1934	0	3	6	0.0731707317073	431	5.25609756097	437	5.32926829268
1938	0	1	1	0.0128205128205	74	0.948717948718	75	0.961538461538
1939	0	1	1	0.012987012987	3	0.038961038961	4	0.051948051948
1943	0	1	1	0.013698630137	32	0.438356164384	33	0.452054794521
1945	0	1	1	0.0140845070423	8	0.112676056338	9	0.12676056338
1949	0	3	3	0.0447761194029	129	1.92537313433	132	1.97014925373
1951	0	1	1	0.0153846153846	55	0.846153846154	56	0.861538461539
1954	0	1	1	0.0161290322581	2	0.0322580645161	3	0.0483870967742
1955	0	1	1	0.016393442623	7	0.114754098361	8	0.131147540984
1958	0	1	1	0.0172413793103	22	0.379310344828	23	0.396551724138
1960	0	1	2	0.0357142857143	26	0.464285714286	28	0.5
1962	0	2	3	0.0555555555555	37	0.685185185185	40	0.740740740741
1963	0	2	2	0.0377358490566	69	1.30188679245	71	1.33962264151
1964	0	1	1	0.0192307692308	18	0.346153846154	19	0.365384615385
1965	0	3	3	0.0588235294119	96	1.88235294117	99	1.94117647059
1966	0	2	2	0.04	41	0.82	43	0.86
1967	0	4	4	0.0816326530612	417	8.51020408163	421	8.59183673469
1968	0	2	2	0.0416666666666	64	1.33333333333	66	1.375
1969	0	4	6	0.127659574468	272	5.78723404255	278	5.91489361702
1970	0	1	1	0.0217391304348	138	3.0	139	3.02173913043
1971	0	3	3	0.0666666666666	379	8.42222222223	382	8.4888888889
1972	0	3	3	0.0681818181819	48	1.09090909091	51	1.15909090909
1973	0	6	8	0.186046511628	591	13.7441860465	599	13.9302325581
1974	0	4	5	0.119047619047	245	5.83333333334	250	5.95238095239
1975	0	1	1	0.0243902439024	34	0.829268292683	35	0.853658536585
1976	0	4	8	0.2	185	4.625	193	4.825
1977	0	5	8	0.205128205128	95	2.4358974359	103	2.64102564103
1978	0	6	23	0.605263157895	803	21.1315789474	826	21.7368421053
1979	0	5	5	0.135135135135	201	5.43243243243	206	5.56756756756
1980	0	5	9	0.25	673	18.6944444445	682	18.9444444445
1981	0	3	3	0.0857142857142	64	1.82857142857	67	1.91428571428
1982	0	8	27	0.794117647059	874	25.705882353	901	26.5
1983	0	9	19	0.575757575757	659	19.9696969697	678	20.5454545455
1984	1	18	46	1.4375	1043	32.59375	1089	34.03125
1985	1	14	31	1.0	1347	43.4516129032	1378	44.4516129032
1986	0	18	35	1.16666666667	1772	59.0666666667	1807	60.2333333333
1987	0	28	51	1.75862068966	3007	103.689655172	3058	105.448275862
1988	0	16	91	3.25	1529	54.6071428572	1620	57.8571428572
1989	0	13	22	0.814814814814	1492	55.2592592593	1514	56.0740740741
1990	0	106	179	6.88461538462	11065	425.576923077	11244	432.461538462
1991	1	762	1255	50.2	94469	3778.76	95724	3828.96
1992	3	677	1147	47.7916666667	77403	3225.125	78550	3272.91666667
1993	1	569	965	41.9565217391	62491	2717.0	63456	2758.95652174
1994	3	391	638	29.0	23498	1068.09090909	24136	1097.09090909
1995	3	281	393	18.7142857143	13404	638.285714286	13797	657.0
1996	5	195	284	14.2	5047	252.35	5331	266.55
1997	4	128	163	8.57894736843	1582	83.2631578947	1745	91.8421052632
1998	6	88	51	2.83333333334	81	4.5	132	7.33333333334
1999	3	6	10	0.588235294118	0	0.0	10	0.588235294118
