year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1900	0	9	9	0.077586207	9	0.077586207	121	1.043103448
1901	0	4	4	0.034782609	4	0.034782609	158	1.373913043
1902	0	5	6	0.052631579	6	0.052631579	20	0.175438596
1903	0	6	15	0.132743363	15	0.132743363	86	0.761061947
1904	0	4	7	0.0625	7	0.0625	432	3.857142857
1905	0	4	5	0.045045045	5	0.045045045	29	0.261261261
1906	0	1	1	0.009090909	1	0.009090909	1	0.009090909
1907	0	4	17	0.155963303	17	0.155963303	135	1.23853211
1908	0	7	9	0.083333333	9	0.083333333	107	0.990740741
1909	0	7	15	0.140186916	15	0.140186916	166	1.551401869
1910	0	9	21	0.198113208	21	0.198113208	300	2.830188679
1911	0	6	8	0.076190476	8	0.076190476	244	2.323809524
1912	0	11	27	0.259615385	27	0.259615385	221	2.125
1913	0	11	25	0.242718447	25	0.242718447	787	7.640776699
1914	0	7	8	0.078431373	8	0.078431373	66	0.647058824
1915	0	9	28	0.277227723	28	0.277227723	210	2.079207921
1916	0	4	4	0.04	4	0.04	21	0.21
1917	0	10	12	0.121212121	12	0.121212121	176	1.777777778
1918	0	5	5	0.051020408	5	0.051020408	78	0.795918367
1919	0	6	7	0.072164948	7	0.072164948	20	0.206185567
1920	0	8	12	0.125	12	0.125	232	2.416666667
1921	0	11	14	0.147368421	14	0.147368421	90	0.947368421
1922	0	11	18	0.191489362	18	0.191489362	301	3.20212766
1923	0	15	18	0.193548387	18	0.193548387	708	7.612903226
1924	0	18	22	0.239130435	22	0.239130435	315	3.423913043
1925	0	14	15	0.164835165	15	0.164835165	717	7.879120879
1926	0	9	11	0.122222222	11	0.122222222	162	1.8
1927	0	19	50	0.561797753	50	0.561797753	1576	17.70786517
1928	0	22	33	0.375	33	0.375	603	6.852272727
1929	0	29	46	0.528735632	46	0.528735632	1579	18.14942529
1930	0	18	22	0.255813953	22	0.255813953	346	4.023255814
1931	0	28	47	0.552941176	47	0.552941176	534	6.282352941
1932	0	37	67	0.797619048	67	0.797619048	1412	16.80952381
1933	0	39	82	0.987951807	82	0.987951807	1123	13.53012048
1934	0	37	196	2.390243902	196	2.390243902	2924	35.65853659
1935	0	35	112	1.382716049	112	1.382716049	7107	87.74074074
1936	0	33	50	0.625	50	0.625	1685	21.0625
1937	0	51	112	1.417721519	112	1.417721519	1315	16.64556962
1938	0	52	96	1.230769231	96	1.230769231	1461	18.73076923
1939	0	41	48	0.623376623	48	0.623376623	970	12.5974026
1940	0	41	60	0.789473684	60	0.789473684	789	10.38157895
1941	0	42	66	0.88	66	0.88	1200	16
1942	0	41	57	0.77027027	57	0.77027027	732	9.891891892
1943	0	47	80	1.095890411	80	1.095890411	1085	14.8630137
1944	0	32	46	0.638888889	46	0.638888889	1239	17.20833333
1945	0	32	41	0.577464789	41	0.577464789	970	13.66197183
1946	0	25	37	0.528571429	37	0.528571429	816	11.65714286
1947	0	38	50	0.724637681	50	0.724637681	953	13.8115942
1948	0	72	197	2.897058824	197	2.897058824	16984	249.7647059
1949	0	66	146	2.179104478	146	2.179104478	2695	40.2238806
1950	0	48	78	1.181818182	78	1.181818182	2001	30.31818182
1951	0	59	113	1.738461538	113	1.738461538	1975	30.38461538
1952	0	68	113	1.765625	113	1.765625	1497	23.390625
1953	0	63	99	1.571428571	99	1.571428571	3112	49.3968254
1954	0	69	196	3.161290323	196	3.161290323	4053	65.37096774
1955	0	60	127	2.081967213	127	2.081967213	4680	76.72131148
1957	0	1	1	0.016949153	1	0.016949153	31	0.525423729
1958	0	1	1	0.017241379	1	0.017241379	14	0.24137931
1959	0	1	1	0.01754386	1	0.01754386	271	4.754385965
1960	0	3	10	0.178571429	10	0.178571429	552	9.857142857
1961	0	6	10	0.181818182	10	0.181818182	713	12.96363636
1962	0	3	9	0.166666667	9	0.166666667	14456	267.7037037
1963	0	9	15	0.283018868	15	0.283018868	627	11.83018868
1964	0	4	4	0.076923077	4	0.076923077	180	3.461538462
1965	0	10	15	0.294117647	15	0.294117647	6541	128.254902
1966	0	8	11	0.22	11	0.22	723	14.46
1967	0	9	29	0.591836735	29	0.591836735	658	13.42857143
1968	0	12	13	0.270833333	13	0.270833333	612	12.75
1969	0	9	30	0.638297872	30	0.638297872	2844	60.5106383
1970	0	13	18	0.391304348	18	0.391304348	1670	36.30434783
1971	0	26	251	5.577777778	251	5.577777778	15261	339.1333333
1972	0	15	17	0.386363636	17	0.386363636	1067	24.25
1973	0	125	428	9.953488372	428	9.953488372	8541	198.627907
1974	0	145	436	10.38095238	436	10.38095238	9061	215.7380952
1975	0	100	208	5.073170732	208	5.073170732	6111	149.0487805
1976	0	80	174	4.35	174	4.35	3724	93.1
1977	0	103	215	5.512820513	215	5.512820513	7781	199.5128205
1978	0	118	698	18.36842105	698	18.36842105	13463	354.2894737
1979	0	74	166	4.486486486	166	4.486486486	13586	367.1891892
1980	0	98	277	7.694444444	277	7.694444444	7671	213.0833333
1981	0	102	313	8.942857143	313	8.942857143	6795	194.1428571
1982	0	116	558	16.41176471	558	16.41176471	11959	351.7352941
1983	0	134	362	10.96969697	362	10.96969697	8750	265.1515152
1984	0	179	614	19.1875	614	19.1875	21835	682.34375
1985	0	202	743	23.96774194	743	23.96774194	39124	1262.064516
1986	0	219	791	26.36666667	791	26.36666667	24241	808.0333333
1987	0	260	852	29.37931034	852	29.37931034	34851	1201.758621
