year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1924	0	1	1	0.0108695652174	23	0.25	24	0.260869565217
1940	0	1	1	0.0131578947368	16	0.210526315789	17	0.223684210526
1953	0	1	1	0.015873015873	17	0.269841269841	18	0.285714285714
1960	0	1	1	0.0178571428571	25	0.446428571429	26	0.464285714286
1965	0	1	3	0.0588235294118	29	0.56862745098	32	0.627450980392
1970	0	1	1	0.0217391304348	599	13.0217391304	600	13.0434782608
1972	0	1	1	0.0227272727273	106	2.40909090909	107	2.43181818182
1973	0	1	1	0.0232558139535	5	0.116279069767	6	0.13953488372
1975	0	3	5	0.121951219512	65	1.58536585366	70	1.70731707317
1977	0	1	1	0.025641025641	5	0.128205128205	6	0.153846153846
1978	0	1	1	0.0263157894737	42	1.10526315789	43	1.13157894736
1979	0	2	3	0.0810810810811	358	9.67567567567	361	9.75675675675
1980	0	5	7	0.194444444444	293	8.13888888889	300	8.33333333334
1981	0	4	6	0.171428571429	267	7.62857142857	273	7.8
1982	0	2	2	0.0588235294118	711	20.9117647059	713	20.9705882353
1983	0	5	5	0.151515151515	136	4.12121212121	141	4.27272727273
1984	0	6	8	0.25	2591	80.96875	2599	81.21875
1985	0	6	24	0.774193548388	872	28.129032258	896	28.9032258064
1986	0	7	7	0.233333333333	298	9.93333333334	305	10.1666666667
1987	0	6	13	0.448275862069	2256	77.7931034482	2269	78.2413793103
1988	0	15	27	0.964285714287	1795	64.1071428571	1822	65.0714285714
1989	0	18	32	1.18518518518	1249	46.2592592592	1281	47.4444444444
1990	0	52	123	4.73076923077	3896	149.846153846	4019	154.576923077
1991	0	362	918	36.72	30126	1205.04	31044	1241.76
1992	0	407	898	37.4166666667	35075	1461.45833333	35973	1498.875
1993	1	520	1280	55.6521739131	42455	1845.86956522	43735	1901.52173913
1994	1	476	1041	47.3181818182	32322	1469.18181818	33363	1516.5
1995	0	446	1110	52.8571428571	27416	1305.52380952	28526	1358.38095238
1996	0	477	976	48.8	30570	1528.5	31546	1577.3
1997	0	428	844	44.4210526316	22741	1196.89473684	23585	1241.31578947
1998	2	414	828	46.0	26470	1470.55555556	27298	1516.55555556
1999	1	362	679	39.9411764706	15835	931.470588235	16514	971.411764706
2000	3	340	589	36.8125	14671	916.9375	15260	953.75
2001	2	250	411	27.4	8803	586.866666667	9214	614.266666667
2002	1	165	194	13.8571428571	2617	186.928571429	2811	200.785714286
2003	1	137	121	9.30769230769	1839	141.461538462	1960	150.769230769
2004	2	76	33	2.75	306	25.5	339	28.25
2005	4	113	14	1.27272727273	77	7.0	91	8.27272727272
