year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1907	0	3	3	0.0275229357798	70	0.642201834862	73	0.669724770642
1912	0	2	2	0.0192307692308	7	0.0673076923077	9	0.0865384615384
1914	0	1	2	0.0196078431373	2	0.0196078431373	4	0.0392156862746
1915	0	4	5	0.049504950495	101	1.0	106	1.0495049505
1917	0	2	2	0.020202020202	12	0.121212121212	14	0.141414141414
1918	0	1	1	0.0102040816327	41	0.418367346939	42	0.428571428572
1921	0	1	1	0.0105263157895	17	0.178947368421	18	0.189473684211
1922	0	2	2	0.0212765957446	46	0.489361702128	48	0.510638297872
1923	0	2	2	0.021505376344	460	4.94623655914	462	4.96774193549
1925	0	3	4	0.043956043956	41	0.450549450549	45	0.494505494505
1926	0	2	2	0.0222222222222	77	0.855555555556	79	0.877777777778
1927	0	1	2	0.0224719101124	15	0.168539325843	17	0.191011235955
1928	0	1	1	0.0113636363636	8	0.0909090909091	9	0.102272727273
1929	0	4	4	0.0459770114944	95	1.09195402299	99	1.13793103448
1930	0	1	2	0.0232558139535	2	0.0232558139535	4	0.046511627907
1931	0	4	4	0.0470588235296	1232	14.4941176471	1236	14.5411764706
1932	0	5	8	0.0952380952382	65	0.773809523809	73	0.869047619048
1933	0	1	1	0.0120481927711	0	0.0	1	0.0120481927711
1934	0	5	5	0.060975609756	341	4.15853658536	346	4.21951219512
1935	0	4	54	0.666666666666	3604	44.4938271605	3658	45.1604938271
1936	0	1	1	0.0125	0	0.0	1	0.0125
1937	0	3	5	0.0632911392405	314	3.97468354431	319	4.03797468355
1938	0	4	4	0.051282051282	148	1.89743589744	152	1.94871794872
1939	0	4	4	0.051948051948	182	2.36363636364	186	2.41558441558
1940	0	6	6	0.0789473684208	86	1.13157894737	92	1.21052631579
1941	0	5	8	0.106666666667	246	3.28	254	3.38666666667
1942	0	1	1	0.0135135135135	10	0.135135135135	11	0.148648648648
1943	0	1	1	0.013698630137	103	1.41095890411	104	1.42465753425
1944	0	3	35	0.486111111111	701	9.73611111111	736	10.2222222222
1945	0	1	2	0.0281690140845	11	0.154929577465	13	0.18309859155
1946	0	4	4	0.0571428571428	70	1.0	74	1.05714285714
1947	0	6	9	0.130434782609	162	2.34782608696	171	2.47826086956
1948	0	8	47	0.691176470588	1101	16.1911764706	1148	16.8823529412
1949	0	4	5	0.0746268656716	240	3.58208955224	245	3.65671641791
1950	0	5	8	0.121212121212	484	7.33333333334	492	7.45454545455
1951	0	6	14	0.215384615385	123	1.89230769231	137	2.10769230769
1952	0	8	9	0.140625	196	3.0625	205	3.203125
1953	0	3	3	0.047619047619	46	0.730158730158	49	0.777777777777
1954	0	6	8	0.129032258065	1634	26.3548387097	1642	26.4838709678
1955	0	8	9	0.147540983607	2048	33.5737704918	2057	33.7213114754
1961	0	1	1	0.0181818181818	46	0.836363636364	47	0.854545454546
1965	0	1	9	0.176470588235	2864	56.1568627451	2873	56.3333333333
1967	0	1	1	0.0204081632653	201	4.10204081633	202	4.1224489796
1968	0	1	1	0.0208333333333	13	0.270833333333	14	0.291666666666
1969	0	1	5	0.106382978723	981	20.8723404255	986	20.9787234042
1970	0	1	8	0.173913043478	218	4.73913043478	226	4.91304347826
1971	0	3	50	1.11111111111	8215	182.555555556	8265	183.666666667
1973	0	3	3	0.0697674418605	1170	27.2093023256	1173	27.2790697675
1974	0	5	7	0.166666666666	1284	30.5714285714	1291	30.7380952381
1975	0	9	17	0.414634146341	595	14.512195122	612	14.9268292683
1976	0	5	6	0.15	552	13.8	558	13.95
1977	0	3	4	0.102564102564	184	4.71794871795	188	4.82051282052
1978	0	7	43	1.13157894737	1309	34.447368421	1352	35.5789473684
1979	0	4	6	0.162162162162	3605	97.4324324325	3611	97.5945945946
1980	0	1	1	0.0277777777778	45	1.25	46	1.27777777778
1981	0	2	3	0.0857142857143	125	3.57142857143	128	3.65714285714
1982	0	6	15	0.441176470589	2345	68.9705882353	2360	69.4117647059
1983	0	6	12	0.363636363636	421	12.7575757576	433	13.1212121212
1984	0	12	53	1.65625	1440	45.0	1493	46.65625
1985	0	8	22	0.709677419355	2154	69.4838709677	2176	70.1935483871
1986	0	11	28	0.933333333333	1415	47.1666666667	1443	48.1
1987	0	11	34	1.1724137931	4544	156.689655172	4578	157.862068966
1988	0	13	27	0.964285714286	2691	96.1071428572	2718	97.0714285714
1989	0	17	39	1.44444444444	2650	98.1481481482	2689	99.5925925926
1990	0	105	263	10.1153846154	13584	522.461538462	13847	532.576923077
1991	4	1072	2784	111.36	158801	6352.04	161585	6463.4
1992	2	1011	2830	117.916666667	159341	6639.20833333	162171	6757.125
1993	2	1062	2772	120.52173913	167933	7301.43478261	170705	7421.95652174
1994	4	1148	3342	151.909090909	157655	7166.13636364	160997	7318.04545454
1995	1	1217	3417	162.714285714	175431	8353.85714286	178848	8516.57142857
1996	4	1320	3761	188.05	177148	8857.4	180909	9045.45
1997	1	1347	3599	189.421052632	153697	8089.31578947	157296	8278.73684211
1998	2	1300	3330	185.0	171103	9505.72222222	174433	9690.72222222
1999	4	1331	3581	210.647058824	155804	9164.94117647	159385	9375.58823529
2000	4	1346	3180	198.75	148255	9265.9375	151435	9464.6875
2001	2	1237	3040	202.666666667	140557	9370.46666667	143597	9573.13333333
2002	5	1085	2594	185.285714286	97076	6934.0	99670	7119.28571429
2003	3	988	2024	155.692307692	84925	6532.69230769	86949	6688.38461538
2004	6	714	1364	113.666666667	46385	3865.41666667	47749	3979.08333333
2005	3	651	1302	118.363636364	39947	3631.54545455	41249	3749.90909091
