year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1903	0	1	1	0.00884955752212	40	0.353982300885	41	0.362831858407
1908	0	1	1	0.00925925925926	4	0.037037037037	5	0.0462962962963
1911	0	1	1	0.00952380952381	234	2.22857142857	235	2.23809523809
1923	0	1	1	0.010752688172	70	0.752688172043	71	0.763440860215
1925	0	2	2	0.021978021978	58	0.637362637362	60	0.65934065934
1930	0	1	1	0.0116279069767	10	0.116279069767	11	0.127906976744
1933	0	2	4	0.0481927710844	24	0.289156626506	28	0.33734939759
1934	0	1	1	0.0121951219512	5	0.0609756097561	6	0.0731707317073
1935	0	2	9	0.111111111111	3570	44.074074074	3579	44.1851851851
1936	0	1	1	0.0125	189	2.3625	190	2.375
1938	0	1	1	0.0128205128205	47	0.602564102564	48	0.615384615384
1939	0	2	2	0.025974025974	6	0.0779220779221	8	0.103896103896
1942	0	1	1	0.0135135135135	18	0.243243243243	19	0.256756756757
1943	0	1	1	0.013698630137	11	0.150684931507	12	0.164383561644
1945	0	1	1	0.0140845070423	64	0.901408450704	65	0.915492957746
1948	0	4	4	0.0588235294116	1384	20.3529411764	1388	20.4117647058
1949	0	1	1	0.0149253731343	50	0.746268656716	51	0.76119402985
1950	0	1	1	0.0151515151515	276	4.18181818182	277	4.19696969697
1952	0	3	3	0.046875	55	0.859375	58	0.90625
1953	0	4	4	0.063492063492	104	1.65079365079	108	1.71428571429
1954	0	4	6	0.0967741935485	1552	25.0322580645	1558	25.1290322581
1955	0	8	11	0.180327868853	2060	33.7704918033	2071	33.9508196721
1956	0	1	1	0.0166666666667	14	0.233333333333	15	0.25
1960	0	1	1	0.0178571428571	50	0.892857142857	51	0.910714285714
1961	0	1	1	0.0181818181818	48	0.872727272727	49	0.890909090909
1965	0	2	4	0.078431372549	1359	26.6470588236	1363	26.7254901961
1969	0	1	2	0.0425531914894	984	20.9361702128	986	20.9787234043
1971	0	5	6	0.133333333333	9369	208.2	9375	208.333333334
1972	0	2	2	0.0454545454546	176	4.0	178	4.04545454545
1973	0	1	1	0.0232558139535	199	4.62790697674	200	4.65116279069
1974	0	5	8	0.190476190476	439	10.4523809524	447	10.6428571429
1975	0	2	4	0.0975609756097	317	7.73170731707	321	7.82926829268
1976	0	1	1	0.025	14	0.35	15	0.375
1977	0	3	3	0.076923076923	125	3.20512820513	128	3.28205128206
1978	0	1	3	0.0789473684211	450	11.8421052632	453	11.9210526316
1979	0	3	4	0.108108108108	9004	243.351351352	9008	243.45945946
1980	0	2	2	0.0555555555556	823	22.8611111111	825	22.9166666667
1981	0	6	16	0.457142857143	1146	32.7428571428	1162	33.2
1982	0	9	18	0.529411764707	1277	37.5588235294	1295	38.0882352941
1983	0	7	9	0.272727272727	987	29.9090909091	996	30.1818181818
1984	0	11	13	0.40625	985	30.78125	998	31.1875
1985	0	13	19	0.612903225806	2626	84.7096774193	2645	85.3225806451
1986	0	14	30	1.0	3385	112.833333333	3415	113.833333333
1987	0	15	24	0.827586206897	2596	89.5172413794	2620	90.3448275863
1988	0	17	20	0.714285714286	4252	151.857142857	4272	152.571428571
1989	0	12	23	0.851851851851	3007	111.37037037	3030	112.222222222
1990	0	130	274	10.5384615385	22014	846.692307692	22288	857.230769231
1991	0	1755	3351	134.04	307618	12304.72	310969	12438.76
1992	0	1981	3869	161.208333333	326012	13583.8333333	329881	13745.0416667
1993	0	1981	3639	158.217391304	335822	14600.9565217	339461	14759.173913
1994	1	2021	3600	163.636363636	281146	12779.3636364	284746	12943.0
1995	0	2047	3362	160.095238095	290259	13821.8571429	293621	13981.952381
1996	0	1909	3199	159.95	269528	13476.4	272727	13636.35
1997	0	1879	3111	163.736842105	295106	15531.8947368	298217	15695.6315789
1998	0	1713	2679	148.833333333	243528	13529.3333333	246207	13678.1666667
1999	3	1603	2443	143.705882353	202451	11908.8823529	204894	12052.5882353
2000	1	1369	2182	136.375	160062	10003.875	162244	10140.25
2001	2	1036	1735	115.666666667	127167	8477.8	128902	8593.46666667
2002	2	901	1470	105.0	90614	6472.42857143	92084	6577.42857143
2003	2	575	1016	78.1538461538	48352	3719.38461538	49368	3797.53846154
2004	3	357	632	52.6666666667	23466	1955.5	24098	2008.16666667
2005	2	262	457	41.5454545455	12234	1112.18181818	12691	1153.72727273
2006	4	205	311	31.1	6611	661.1	6922	692.2
2007	3	146	205	22.7777777778	1847	205.222222222	2052	228.0
2008	1	128	93	11.625	1074	134.25	1167	145.875
2009	3	135	19	2.71428571428	104	14.8571428571	123	17.5714285714
