year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1903	0	1	2	0.0176991150442	39	0.345132743363	41	0.362831858407
1909	0	1	1	0.00934579439252	21	0.196261682243	22	0.205607476636
1910	0	1	1	0.00943396226415	58	0.547169811321	59	0.556603773585
1912	0	1	1	0.00961538461538	56	0.538461538462	57	0.548076923077
1918	0	1	1	0.0102040816327	7	0.0714285714286	8	0.0816326530613
1920	0	2	2	0.0208333333334	190	1.97916666667	192	2.0
1924	0	1	1	0.0108695652174	38	0.413043478261	39	0.423913043478
1925	0	1	1	0.010989010989	6	0.0659340659341	7	0.0769230769231
1927	0	1	1	0.0112359550562	173	1.94382022472	174	1.95505617978
1929	0	1	1	0.0114942528736	14	0.16091954023	15	0.172413793104
1930	0	2	3	0.0348837209302	154	1.79069767442	157	1.82558139535
1932	0	2	2	0.0238095238096	33	0.392857142857	35	0.416666666667
1933	0	1	1	0.0120481927711	6	0.0722891566265	7	0.0843373493976
1934	0	2	2	0.0243902439024	561	6.84146341464	563	6.86585365854
1935	0	1	7	0.0864197530864	3233	39.9135802469	3240	40.0
1937	0	5	6	0.0759493670886	135	1.70886075949	141	1.78481012658
1938	0	1	3	0.0384615384615	134	1.71794871795	137	1.75641025641
1939	0	1	1	0.012987012987	98	1.27272727273	99	1.28571428572
1940	0	2	2	0.0263157894736	41	0.539473684211	43	0.565789473685
1941	0	3	4	0.0533333333333	38	0.506666666666	42	0.559999999999
1944	0	2	2	0.0277777777778	20	0.277777777778	22	0.305555555556
1948	0	4	4	0.0588235294116	73	1.07352941176	77	1.13235294118
1949	0	7	10	0.149253731343	296	4.41791044776	306	4.5671641791
1951	0	1	1	0.0153846153846	7	0.107692307692	8	0.123076923077
1952	0	4	4	0.0625	59	0.921875	63	0.984375
1953	0	2	2	0.031746031746	72	1.14285714286	74	1.1746031746
1954	0	3	21	0.338709677419	488	7.87096774194	509	8.20967741936
1955	0	2	2	0.032786885246	32	0.524590163935	34	0.557377049181
1961	0	2	2	0.0363636363636	380	6.90909090909	382	6.94545454545
1971	0	3	12	0.266666666666	7300	162.222222222	7312	162.488888889
1973	0	8	12	0.279069767442	227	5.27906976745	239	5.55813953489
1974	0	10	12	0.285714285714	966	23.0	978	23.2857142857
1975	0	3	3	0.0731707317072	1105	26.9512195122	1108	27.0243902439
1976	0	3	3	0.075	222	5.55	225	5.625
1977	0	1	1	0.025641025641	88	2.25641025641	89	2.28205128205
1978	0	10	51	1.34210526316	537	14.1315789474	588	15.4736842105
1979	0	4	10	0.27027027027	3060	82.7027027027	3070	82.9729729729
1980	0	2	25	0.694444444445	105	2.91666666666	130	3.61111111111
1981	0	3	4	0.114285714286	531	15.1714285715	535	15.2857142857
1982	0	1	1	0.0294117647059	32	0.941176470588	33	0.970588235294
1983	0	3	3	0.090909090909	222	6.72727272728	225	6.81818181819
1984	0	4	5	0.15625	147	4.59375	152	4.75
1985	0	6	8	0.258064516129	900	29.0322580645	908	29.2903225806
1986	0	5	5	0.166666666666	435	14.5	440	14.6666666667
1987	0	6	29	1.0	1671	57.6206896551	1700	58.6206896551
1988	0	5	6	0.214285714286	1765	63.0357142857	1771	63.25
1989	0	11	16	0.592592592592	2064	76.4444444445	2080	77.0370370371
1990	0	109	260	10.0	14049	540.346153846	14309	550.346153846
1991	0	1257	2536	101.44	220508	8820.32	223044	8921.76
1992	0	1346	2776	115.666666667	218429	9101.20833333	221205	9216.875
1993	0	1335	2674	116.260869565	208650	9071.73913044	211324	9188.0
1994	0	1488	3141	142.772727273	225955	10270.6818182	229096	10413.4545455
1995	3	1571	3514	167.333333333	211498	10071.3333333	215012	10238.6666667
1996	0	1619	3384	169.2	206800	10340.0	210184	10509.2
1997	0	1795	3903	205.421052632	243202	12800.1052632	247105	13005.5263158
1998	0	1811	4225	234.722222222	229747	12763.7222222	233972	12998.4444444
1999	0	1963	4511	265.352941177	202125	11889.7058824	206636	12155.0588235
2000	1	1998	4839	302.4375	194937	12183.5625	199776	12486.0
2001	2	1691	3676	245.066666667	156849	10456.6	160525	10701.6666667
2002	4	1562	4194	299.571428571	112250	8017.85714286	116444	8317.42857143
2003	2	1409	3296	253.538461538	81930	6302.30769231	85226	6555.84615385
2004	5	1078	2396	199.666666667	52726	4393.83333333	55122	4593.5
2005	4	937	2051	186.454545455	30028	2729.81818182	32079	2916.27272727
2006	2	691	1350	135.0	14357	1435.7	15707	1570.7
2007	15	251	424	47.1111111111	2201	244.555555556	2625	291.666666667
2008	11	206	54	6.75	143	17.875	197	24.625
2009	1	1	1	0.142857142857	0	0.0	1	0.142857142857
