year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1902	0	1	1	0.00877192982456	9	0.0789473684211	10	0.0877192982457
1903	0	1	1	0.00884955752212	40	0.353982300885	41	0.362831858407
1907	0	1	1	0.00917431192661	60	0.550458715596	61	0.559633027523
1909	0	1	1	0.00934579439252	21	0.196261682243	22	0.205607476636
1912	0	2	2	0.0192307692308	85	0.817307692308	87	0.836538461539
1913	0	1	1	0.00970873786408	31	0.300970873786	32	0.31067961165
1917	0	1	1	0.010101010101	3	0.030303030303	4	0.040404040404
1920	0	1	1	0.0104166666667	195	2.03125	196	2.04166666667
1921	0	3	3	0.0315789473685	19	0.2	22	0.231578947369
1922	0	1	1	0.0106382978723	49	0.521276595745	50	0.531914893617
1925	0	1	1	0.010989010989	44	0.483516483516	45	0.494505494505
1927	0	2	3	0.0337078651686	209	2.34831460674	212	2.38202247191
1928	0	2	3	0.0340909090909	122	1.38636363637	125	1.42045454546
1929	0	4	7	0.080459770115	562	6.45977011494	569	6.54022988505
1930	0	1	1	0.0116279069767	19	0.220930232558	20	0.232558139535
1931	0	2	2	0.0235294117648	44	0.517647058823	46	0.541176470588
1932	0	3	3	0.0357142857144	49	0.583333333333	52	0.619047619047
1933	0	3	4	0.0481927710844	114	1.3734939759	118	1.42168674699
1934	0	3	12	0.146341463414	863	10.5243902439	875	10.6707317073
1935	0	3	10	0.123456790123	3635	44.8765432098	3645	45.0
1936	0	2	4	0.05	21	0.2625	25	0.3125
1937	0	6	6	0.0759493670886	384	4.86075949367	390	4.93670886076
1938	0	3	3	0.0384615384615	70	0.897435897436	73	0.935897435897
1939	0	3	3	0.038961038961	135	1.75324675325	138	1.79220779221
1940	0	2	2	0.0263157894736	53	0.697368421053	55	0.723684210526
1941	0	2	5	0.0666666666666	263	3.50666666667	268	3.57333333333
1942	0	5	6	0.081081081081	239	3.22972972973	245	3.31081081081
1943	0	2	3	0.041095890411	69	0.945205479452	72	0.986301369863
1944	0	4	4	0.0555555555556	1523	21.1527777778	1527	21.2083333333
1945	0	1	1	0.0140845070423	8	0.112676056338	9	0.12676056338
1946	0	3	4	0.0571428571428	405	5.78571428572	409	5.84285714286
1947	0	1	1	0.0144927536232	58	0.840579710145	59	0.855072463768
1948	0	10	17	0.25	1859	27.3382352941	1876	27.5882352941
1949	0	7	23	0.34328358209	604	9.01492537313	627	9.35820895522
1950	0	2	2	0.030303030303	286	4.33333333334	288	4.36363636364
1951	0	4	5	0.076923076923	349	5.36923076923	354	5.44615384615
1952	0	4	7	0.109375	34	0.53125	41	0.640625
1953	0	8	8	0.126984126984	92	1.46031746032	100	1.5873015873
1954	0	11	26	0.41935483871	997	16.0806451613	1023	16.5
1955	0	10	15	0.245901639345	749	12.2786885246	764	12.5245901639
1962	0	1	1	0.0185185185185	9	0.166666666667	10	0.185185185186
1967	0	1	1	0.0204081632653	461	9.40816326531	462	9.42857142858
1969	0	1	1	0.0212765957447	985	20.9574468085	986	20.9787234042
1970	0	2	2	0.0434782608696	234	5.08695652174	236	5.13043478261
1971	0	3	15	0.333333333333	8418	187.066666666	8433	187.4
1973	0	9	22	0.511627906977	1012	23.5348837209	1034	24.0465116279
1974	0	15	22	0.52380952381	1671	39.7857142857	1693	40.3095238095
1975	0	11	13	0.317073170731	466	11.3658536585	479	11.6829268293
1976	0	7	14	0.35	540	13.5	554	13.85
1977	0	6	9	0.230769230769	244	6.25641025641	253	6.48717948717
1978	0	12	52	1.36842105263	3592	94.5263157894	3644	95.8947368421
1979	0	6	19	0.513513513513	3677	99.3783783783	3696	99.8918918918
1980	0	10	14	0.388888888889	990	27.5	1004	27.8888888889
1981	0	5	13	0.371428571429	637	18.2	650	18.5714285715
1982	0	8	45	1.32352941177	1409	41.4411764706	1454	42.7647058823
1983	0	11	30	0.90909090909	738	22.3636363636	768	23.2727272727
1984	0	16	42	1.3125	2299	71.84375	2341	73.15625
1985	0	19	60	1.93548387097	3273	105.580645161	3333	107.516129032
1986	0	17	60	2.0	1595	53.1666666667	1655	55.1666666667
1987	0	23	34	1.1724137931	5510	190.0	5544	191.172413793
1988	0	18	60	2.14285714286	2963	105.821428571	3023	107.964285714
1989	0	29	44	1.62962962963	4119	152.555555556	4163	154.185185185
1990	1	233	704	27.0769230769	29326	1127.92307692	30030	1155.0
1991	0	2422	5630	225.2	444439	17777.56	450069	18002.76
1992	2	2761	6010	250.416666667	440475	18353.125	446485	18603.5416667
1993	2	2917	6260	272.173913044	456801	19860.9130435	463061	20133.0869565
1994	0	2974	5997	272.590909091	451474	20521.5454545	457471	20794.1363636
1995	1	3197	6951	331.0	498756	23750.2857143	505707	24081.2857143
1996	2	3339	7174	358.7	472698	23634.9	479872	23993.6
1997	0	3351	6959	366.263157895	523795	27568.1578947	530754	27934.4210526
1998	0	3403	6934	385.222222222	502809	27933.8333333	509743	28319.0555556
1999	0	3428	7325	430.882352941	428095	25182.0588235	435420	25612.9411765
2000	1	3341	6874	429.625	390693	24418.3125	397567	24847.9375
2001	3	2978	5770	384.666666667	351206	23413.7333333	356976	23798.4
2002	1	2931	5330	380.714285714	306180	21870.0	311510	22250.7142857
2003	4	2648	4700	361.538461538	225509	17346.8461538	230209	17708.3846154
2004	2	2027	3556	296.333333333	159859	13321.5833333	163415	13617.9166667
2005	4	1980	3238	294.363636364	111917	10174.2727273	115155	10468.6363636
2006	5	1530	2434	243.4	67790	6779.0	70224	7022.4
2007	7	912	1394	154.888888889	32058	3562.0	33452	3716.88888889
2008	8	456	537	67.125	6795	849.375	7332	916.5
2009	7	168	139	19.8571428571	433	61.8571428571	572	81.7142857142
2010	10	17	20	3.33333333334	4	0.666666666667	24	4.0
