year	cited_by_article	count	in_deg_in_context	in_deg_in_context_tapered	in_deg_out_context	in_deg_out_context_tapered	in_deg_total	in_deg_total_tapered
1900	0	6	6	0.051724137931	6	0.051724137931	20	0.172413793103
1901	0	3	3	0.0260869565217	3	0.0260869565217	44	0.382608695653
1902	0	3	4	0.0350877192982	4	0.0350877192982	9	0.078947368421
1903	0	5	13	0.115044247788	13	0.115044247788	52	0.46017699115
1904	0	3	6	0.0535714285714	6	0.0535714285714	429	3.83035714285
1905	0	3	4	0.036036036036	4	0.036036036036	25	0.225225225225
1907	0	2	13	0.119266055046	13	0.119266055046	88	0.807339449541
1908	0	4	6	0.0555555555555	6	0.0555555555555	70	0.648148148148
1909	0	5	8	0.0747663551402	8	0.0747663551402	78	0.728971962617
1910	0	5	15	0.141509433962	15	0.141509433962	110	1.03773584906
1911	0	5	7	0.0666666666666	7	0.0666666666666	223	2.12380952381
1912	0	8	12	0.115384615385	12	0.115384615385	131	1.25961538462
1913	0	8	21	0.203883495146	21	0.203883495146	365	3.54368932039
1914	0	5	6	0.0588235294118	6	0.0588235294118	58	0.568627450981
1915	0	8	26	0.257425742574	26	0.257425742574	153	1.51485148515
1916	0	3	3	0.03	3	0.03	20	0.2
1917	0	7	9	0.090909090909	9	0.090909090909	86	0.868686868686
1918	0	4	4	0.0408163265308	4	0.0408163265308	42	0.428571428572
1919	0	5	6	0.061855670103	6	0.061855670103	17	0.175257731959
1920	0	5	9	0.0937500000001	9	0.0937500000001	208	2.16666666667
1921	0	9	12	0.126315789474	12	0.126315789474	68	0.715789473684
1922	0	11	18	0.191489361702	18	0.191489361702	301	3.20212765957
1923	0	12	13	0.139784946236	13	0.139784946236	386	4.1505376344
1924	0	16	20	0.217391304348	20	0.217391304348	286	3.10869565217
1925	0	10	11	0.120879120879	11	0.120879120879	125	1.37362637363
1926	0	7	9	0.0999999999999	9	0.0999999999999	148	1.64444444444
1927	0	17	46	0.516853932584	46	0.516853932584	1056	11.8651685393
1928	0	15	24	0.272727272727	24	0.272727272727	308	3.5
1929	0	22	33	0.379310344828	33	0.379310344828	677	7.7816091954
1930	0	15	18	0.209302325581	18	0.209302325581	235	2.73255813953
1931	0	19	25	0.29411764706	25	0.29411764706	285	3.35294117647
1932	0	31	56	0.666666666667	56	0.666666666667	1173	13.9642857143
